State,Geo_Area,Recorded_Forest,Actual_Forest,Forest_Deficiency_Index,Forest_Cover_Percentage
Andhra Pradesh,160204,37258,24424.0,12834.0,15.245561908566577
Arunachal Pradesh,83743,51407,67248.0,-15841.0,80.30283128142054
Assam,78438,26832,27623.0,-791.0,35.21634921849104
Bihar,94163,6493,7288.0,-795.0,7.739770398139396
Chhattisgarh,135191,59772,55586.0,4186.0,41.11664238004009
Delhi,1483,102,188.77,-86.77000000000001,12.728927848954822
Goa,3702,1225,2224.0,-999.0,60.075634792004315
Gujarat,196022,21647,14660.0,6987.0,7.478752384936385
Haryana,44212,1559,1584.0,-25.0,3.582737718266534
Himachal Pradesh,55673,37033,14696.0,22337.0,26.39699674887288
Jammu & Kashmir,222236,20230,22988.0,-2758.0,10.343958674562177
Jharkhand,79714,23605,23478.0,127.0,29.452793737611966
Karnataka,191791,38284,36421.0,1863.0,18.9899421766402
Kerala,38863,11309,19239.0,-7930.0,49.50467025191056
Madhya Pradesh,308245,94689,77462.0,17227.0,25.130010219143863
Maharashtra,307713,61579,50628.0,10951.0,16.452993536184692
Manipur,22327,17418,16994.0,424.0,76.11412191516997
Meghalaya,22429,9496,17217.0,-7721.0,76.76222747336038
Mizoram,21081,5641,18748.0,-13107.0,88.93316256344576
Nagaland,16579,9222,12966.0,-3744.0,78.20737077025153
Odisha,155707,58136,50354.0,7782.0,32.33894429922868
Punjab,50362,3084,1771.0,1313.0,3.5165402486001347
Rajasthan,342239,32737,16171.0,16566.0,4.725060557096064
Sikkim,7096,5841,3357.0,2484.0,47.30834272829763
Tamil Nadu,130058,22877,26345.0,-3468.0,20.2563471681865
Telangana,114865,26904,21591.0,5313.0,18.796848474295913
Tripura,10486,6294,7811.0,-1517.0,74.48979591836735
Uttar Pradesh,240928,16582,14461.0,2121.0,6.0022081285695315
Uttarakhand,53483,38000,24240.0,13760.0,45.32281285642167
West Bengal,88752,11879,16828.0,-4949.0,18.960699477194883
Andaman & Nicobar Islands,8249,7171,6751.0,420.0,81.8402230573403
Chandigarh,114,35,22.03,12.969999999999999,19.32456140350877
Dadra & Nagar Haveli,491,204,206.0,-2.0,41.955193482688394
Daman & Diu,112,8,19.61,-11.61,17.50892857142857
Lakshadweep,32,0,27.06,-27.06,84.5625
Puducherry,480,13,55.38,-42.38,11.537500000000001
Grand Total,3287263,764566,701673.0,62893.0,21.345204201793408
